"","lemma","Polarity","Emotion_Category","Personality"
"12396","心驚膽跳","N","3",NA
"12397","心驚膽戰","N","3",NA
"12398","心驚肉跳","N","3",NA
"12399","心靜","P","",NA
"12400","心口如一","P","1",1
"12401","心曠神怡","P","1",NA
"12402","心理技巧","N","",NA
"12403","心理戰","N","",NA
"12404","心力跟金錢","N","",NA
"12405","心靈富足","P","1",NA
"12406","心亂如麻","N","3",NA
"12407","心滿意足","P","1",NA
"12408","心平氣和","P","1",NA
"12409","心切","N","3",NA
"12410","心情","0","",NA
"12411","心情不好","N","2",NA
"12412","心情煩","","4",NA
"12413","心情好","P","1",NA
"12414","心情真差","N","4",NA
"12415","心卻空空的","N","2",NA
"12416","心卻碎了","N","2",NA
"12417","心卻碎了","N","3",NA
"12418","心如刀割","N","2",NA
"12419","心如死灰","N","2",NA
"12420","心軟","N","2",NA
"12421","心塞","N","2",NA
"12422","心神不安","N","3",NA
"12423","心神不定","N","3",NA
"12424","心神不寧","N","3",NA
"12425","心生警惕","N","3",NA
"12426","心生疑慮","N","",NA
"12427","心生疑慮","N","3",NA
"12428","心事重重","N","2",NA
"12429","心酸","N","2",NA
"12430","心碎","N","2",NA
"12431","心疼","N","2",NA
"12432","心疼","N","2,3",NA
"12433","心疼","P",NA,NA
"12434","心跳會漏拍","P","1",NA
"12435","心跳加速","P","1",NA
"12436","心痛","N","2",NA
"12437","心痛不已","N","2",NA
"12438","心痛不已","N","3",NA
"12439","心頭肉","P","1",NA
"12440","心頭肉","P","1",NA
"12441","心無二用","P","1",1
"12442","心細","P","1",1
"12443","心繫","P","1",NA
"12444","心繫","P","1",NA
"12445","心虛","N","3",NA
"12446","心癢","P","1",NA
"12447","心儀","P","1",NA
"12448","心有餘而力不足","N","",NA
"12449","心有餘悸","N","3",NA
"12450","心餘力絀","N","",NA
"12451","心猿意馬","N","5",4
"12452","心悅誠服","P","1",NA
"12453","心臟病","N","2",NA
"12454","心臟病","N","3",NA
"12455","心臟病發","N","2",NA
"12456","心臟病發","N","3",NA
"12457","心臟快速的跳動","N","3",NA
"12458","心臟狂跳","N","3",NA
"12459","心窄","N","4",4
"12460","心折","P","1",NA
"12461","心直口快","P","",1
"12462","心中的海浪","N","",NA
"12463","心中無數","0","5",NA
"12464","心中有鬼","N","3",NA
"12465","心拙口笨","N","3",3
"12466","心醉","P","1",NA
"12467","辛苦","N","2,3",NA
"12468","辛苦","N","2",NA
"12469","辛苦的工作","N","",NA
"12470","辛苦您","P","",NA
"12471","辛勞","N","2",NA
"12472","辛勞","N","2",NA
"12473","辛勤","P","1",1
"12474","辛酸","N","2",NA
"12475","欣","P","1",NA
"12476","欣汴","P","1",NA
"12477","欣然","P","1",NA
"12478","欣賞","P","1",NA
"12479","欣賞美景","P","",NA
"12480","欣賞你","P","1",NA
"12481","欣慰","P","1",NA
"12482","欣喜","P","1",NA
"12483","欣喜若狂","P","1",NA
"12484","欣羨","P","1",NA
"12485","欣欣","P","1",NA
"12486","欣欣然","P","1",NA
"12487","欣幸","P","1",NA
"12488","欣悅","P","1",NA
"12489","新高","P","",NA
"12490","新好男人","P","1",NA
"12491","新好女人","P","1",NA
"12492","新歡","P","1",NA
"12493","新歡","P","1",NA
"12494","新口味","P","",NA
"12495","新年快樂","P","1",NA
"12496","新年快樂","P","1",NA
"12497","新人","P","",NA
"12498","新人王","P","1",NA
"12499","新身份","P","",NA
"12500","新鮮","P","",NA
"12501","新衣","P","1",NA
"12502","新衣","P","1",NA
"12503","新增一例死亡","","4",NA
"12504","新增一例死亡","N","3",NA
"12505","新知","P","",NA
"12506","薪水都拿走","","4",NA
"12507","薪資倒退","N","4",NA
"12508","薪資倒退","N","2",NA
"12509","信","0","",NA
"12510","信不過","N","",NA
"12511","信從","P","1",1
"12512","信得過","P","1",1
"12513","信奉","0","",NA
"12514","信奉","P",NA,NA
"12515","信服","P","",NA
"12516","信教","0","",NA
"12517","信口雌黃","N","4",NA
"12518","信口開河","N","4",NA
"12519","信賴","P","",NA
"12520","信任","P","",NA
"12521","信實","P","",NA
"12522","信手拈來","P","1",NA
"12523","信守","P","1",NA
"12524","信託","P","1",1
"12525","信心","P","",NA
"12526","信心滿滿","P","1",NA
"12527","信仰","P","",NA
"12528","信義","P","",NA
"12529","信用","P","1",1
"12530","信用額度已透支","","4",NA
"12531","信譽","P","",NA
"12532","惺惺相惜","P","1",1
"12533","行","P","1",1
"12534","行動不便","N","2",NA
"12535","行動不便","N","3",NA
"12536","行個禮","P","",NA
"12537","行徑","N","",NA
"12538","行禮","P","",NA
"12539","行騙","N","4",4
"12540","行情看俏","P","1",NA
"12541","行情看俏","P","",NA
"12542","行若無事","P","",NA
"12543","行事小心","N","",NA
"12544","行凶","","4",NA
"12545","行凶","N","3",NA
"12546","形跡可疑","N","",NA
"12547","形同陌路","N","2",NA
"12548","醒了","P","",NA
"12549","醒悟","P","",NA
"12550","醒醒吧","N","",NA
"12551","擤鼻涕","N","",NA
"12552","姓邱的","","4",NA
"12553","幸","P","1",NA
"12554","幸福","P","1",NA
"12555","幸福的","P","1",NA
"12556","幸福的味道","P","1",NA
"12557","幸福的味道","P","1",NA
"12558","幸好","P","1",NA
"12559","幸好","P","1",NA
"12560","幸甚","P","1",NA
"12561","幸未擴大","P","",NA
"12562","幸喜","P","1",NA
"12563","幸有","P","",NA
"12564","幸運","P","1",NA
"12565","幸運","P","1",NA
"12566","幸運地","P","",NA
"12567","性愛","P","1",NA
"12568","性高潮","P","1",NA
"12569","性關係不協調","N","2",NA
"12570","性急","N","4",3
"12571","性命難保","N","3",NA
"12572","性器接合","N","",NA
"12573","性侵犯","N","4",NA
"12574","性侵通緝犯","N","3",NA
"12575","性情","0","",NA
"12576","性情中人","P","1",1
"12577","性騷擾","N","4",NA
"12578","性生活不美滿","N","2",NA
"12579","性生活不協調","N","2",NA
"12580","性生活史複雜","","4",NA
"12581","性生活史複雜","N","3",NA
"12582","悻悻","N","2",NA
"12583","悻悻然","N","2",NA
"12584","興沖沖","P","1",NA
"12585","興匆匆","P","1",NA
"12586","興奮","P","1",NA
"12587","興高采烈","P","1",NA
"12588","興高彩烈","P","1",NA
"12589","興趣","P","1",NA
"12590","興趣缺缺","N","",NA
"12591","興趣缺缺","N","",NA
"12592","興師問罪","N","4",NA
"12593","興師問罪","N","2",NA
"12594","興嘆","N","2",NA
"12595","興歎","N","2",NA
"12596","興旺","P","1",NA
"12597","興致","P","1",NA
"12598","興致勃勃","P","1",NA
"12599","凶","N","4",NA
"12600","凶暴","N","4",4
"12601","凶殘","N","3",NA
"12602","凶殘","N","3",NA
"12603","凶惡","N","4",4
"12604","凶悍","N","4",4
"12605","凶悍","P",NA,NA
"12606","凶狠","N","4",4
"12607","凶狠","N","",NA
"12608","凶橫","N","4",4
"12609","凶猛","N","",NA
"12610","凶猛","N","",NA
"12611","凶猛","P",NA,NA
"12612","凶手","","4",NA
"12613","凶手","N",NA,NA
"12614","凶嫌","N","",NA
"12615","兇","N","4",NA
"12616","兇案","","4",NA
"12617","兇案","N","3",NA
"12618","兇惡","N","3",NA
"12619","兇狠","N","3",NA
"12620","兇手","N","4",NA
"12621","胸部凹陷","","4",NA
"12622","胸部凹陷","N","3",NA
"12623","胸大無腦","N","4",NA
"12624","胸無城府","P","1",1
"12625","胸有成竹","P","",NA
"12626","胸有成竹","P","1",NA
"12627","雄才大略","P","1",NA
"12628","雄才大略","P","1",NA
"12629","休耕因應","N","2",NA
"12630","休耕因應","N","3",NA
"12631","休假","P","",NA
"12632","休息","P","",NA
"12633","休息了好久","N","",NA
"12634","休想讓","","4",NA
"12635","修復感情","P","",NA
"12636","修正","P","",NA
"12637","羞","0","2",NA
"12638","羞慚","N","2",NA
"12639","羞恥","N","2",NA
"12640","羞答答","N",NA,NA
"12641","羞答答","P","2",NA
"12642","羞憤","N","2,4",NA
"12643","羞愧","N","2",NA
"12644","羞赧","N","2",NA
"12645","羞赧","P","",NA
"12646","羞怯","N","2",NA
"12647","羞怯","P",NA,NA
"12648","羞人","N","2",NA
"12649","羞人答答","N",NA,NA
"12650","羞人答答","P","2",NA
"12651","羞辱","N","2",NA
"12652","羞辱","N","2,3",NA
"12653","羞澀","N","",NA
"12654","羞澀","P","2",NA
"12655","羞羞答答","N",NA,NA
"12656","羞羞答答","P","2",NA
"12657","羞與為伍","N","2",NA
"12658","朽木","N","2",NA
"12659","朽木不可雕","N","2",NA
"12660","袖手旁觀","N","",NA
"12661","虛","0","",NA
"12662","虛耗","","4",NA
"12663","虛懷若谷","P","1",2
"12664","虛假","N","4",4
"12665","虛驕","N","4",4
"12666","虛驚","0","3",NA
"12667","虛榮","N","",NA
"12668","虛榮心","N","",NA
"12669","虛弱","N","2",NA
"12670","虛弱不堪","N","2",NA
"12671","虛偽","N","4",4
"12672","虛心","P","",NA
"12673","虛心","P","",NA
"12674","虛與委蛇","N","4",4
"12675","虛張聲勢","N","4",4
"12676","須動刀","N","2",NA
"12677","須動刀","N","3",NA
"12678","需要愛","N","2",NA
"12679","噓","N","4",NA
"12680","噓寒問暖","P","1",NA
"12681","呴","P","1",NA
"12682","栩栩如生","P","",NA
"12683","許多衝突","N","",NA
"12684","許多衝突","N","",NA
"12685","許諾","P","",NA
"12686","敘舊","P","",NA
"12687","酗酒","","4",NA
"12688","酗酒","N",NA,NA
"12689","絮","N","4",NA
"12690","絮煩","N","4",NA
"12691","絮絮","N","4",NA
"12692","絮絮不休","N","4",NA
"12693","絮絮叨叨","N","4",NA
"12694","蓄水量不到","","4",NA
"12695","蓄水量不到","N","3",NA
"12696","蓄水量偏低","","4",NA
"12697","蓄水量偏低","N","3",NA
"12698","續拚","P","",NA
"12699","宣告不治","N","2",NA
"12700","宣告不治","N","3",NA
"12701","宣洩","N","",NA
"12702","軒然大波","N","4",NA
"12703","軒然大波","N","2",NA
"12704","喧鬧","P","",NA
"12705","懸念","N","3",NA
"12706","懸殊","N","",NA
"12707","懸心吊膽","N","3",NA
"12708","懸崖勒馬","P","1",NA
"12709","懸在","N","3",NA
"12710","選進","P","1",NA
"12711","選擇自尊","N","",NA
"12712","炫示","N","4",4
"12713","炫耀","","4",NA
"12714","炫耀","N",NA,NA
"12715","炫耀","P","",NA
"12716","眩","0","",NA
"12717","削弱","N","",NA
"12718","學霸","P","1",NA
"12719","學到","P","",NA
"12720","學到了","P","",NA
"12721","學神","P","1",NA
"12722","學生荒","N","2",NA
"12723","學酥","N","2",NA
"12724","學習獨立","N","2",NA
"12725","學渣","N","2",NA
"12726","血","N","3",NA
"12727","血","N","4",NA
"12728","血癌","N","2",NA
"12729","血癌","N","3",NA
"12730","血案","N","3",NA
"12731","血池","N","3",NA
"12732","血海","N","3",NA
"12733","血紅色","N","3",NA
"12734","血花","N","3",NA
"12735","血跡","","4",NA
"12736","血跡","N","3",NA
"12737","血跡斑斑","","4",NA
"12738","血跡斑斑","N","3",NA
"12739","血口噴人","N","4",4
"12740","血淚","N","2",NA
"12741","血淋淋的","N","3",NA
"12742","血流不止","","4",NA
"12743","血流不止","N","3",NA
"12744","血肉","N","3",NA
"12745","血絲","N","3",NA
"12746","血腥","","4",NA
"12747","血腥","N","3",NA
"12748","血腥味","N","3",NA
"12749","血壓飆高","N","4",NA
"12750","血壓飆高","N","",NA
"12751","血液","","3,4",NA
"12752","血液","N","3",NA
"12753","尋仇","N","",NA
"12754","尋根溯源","P","",NA
"12755","尋歡作樂","P","1",1
"12756","尋獲","P","1",NA
"12757","尋獲","P","1",NA
"12758","尋開心","N","4",4
"12759","尋求幫助","N","2",NA
"12760","尋求幫助","N","3",NA
"12761","尋尋覓覓","N","2",NA
"12762","尋找下個","N","2",NA
"12763","循規蹈矩","P","1",1
"12764","馴服","P","1",NA
"12765","馴良","P","1",1
"12766","馴順","P","1",1
"12767","迅雷不及掩+耳","0","5",NA
"12768","迅速","P","",NA
"12769","徇私","N","4",4
"12770","殉職","N","2",NA
"12771","殉職","N","3",NA
"12772","訊全無","N","2",NA
"12773","訓斥","N","4",4
"12774","訓話","N","4",NA
"12775","訓話","N","2",NA
"12776","訓勉","P","1",1
"12777","遜","N","",NA
"12778","鴉雀無聲","N","3",NA
"12779","鴨梨山大","N","3",NA
"12780","壓倒","N","",NA
"12781","壓垮駱駝","N","2",NA
"12782","壓垮駱駝","N","3",NA
"12783","壓力","N","2",NA
"12784","壓力測試","N","",NA
"12785","壓力大","N","",NA
"12786","壓力更大","N","",NA
"12787","壓力過大","","3,4",NA
"12788","壓力過大","N","3",NA
"12789","壓力加在別人身上","","4",NA
"12790","壓力也大","N","2",NA
"12791","壓迫","N","2",NA
"12792","壓氣","N","4",NA
"12793","壓壓驚","C","",NA
"12794","壓抑","N","2",NA
"12795","壓抑","N","",NA
"12796","壓制","C","",NA
"12797","壓制","N","2",NA
"12798","壓制在地","N","",NA
"12799","牙癢癢","N","4",NA
"12800","啞口","N","4",NA
"12801","啞口無言","N","",NA
"12802","啞口無言","N","",NA
"12803","啞然","N","2",NA
"12804","啞然失笑","N","",NA
"12805","雅量","P","1",1
"12806","雅正","P","1",1
"12807","雅緻","P","",NA
"12808","訝異","0","",NA
"12809","呀","P","1",NA
"12810","淹沒","N","",NA
"12811","淹入","N","4",NA
"12812","淹入","N","2",NA
"12813","淹水","N","4",NA
"12814","淹水","N","2",NA
"12815","菸蒂","N","4",NA
"12816","菸蒂","N","2",NA
"12817","湮滅證據","N","",NA
"12818","煙霧瀰漫","N","3",NA
"12819","煙霧瀰漫","N","4",NA
"12820","嫣然一笑","P","1",NA
"12821","懨懨","N","2",NA
"12822","延宕","N","4",NA
"12823","延宕","N","2",NA
"12824","延燒","","4",NA
"12825","延燒","N","3",NA
"12826","延誤治療","N","2",NA
"12827","延誤治療","N","3",NA
"12828","言必信，行必果","P","1",1
"12829","言不盡意","N","3",3
"12830","言不由衷","N","4",4
"12831","言而無信","N","4",4
"12832","言而有信","P","1",1
"12833","言聽計從","P","1",1
"12834","言行一致","P","1",1
"12835","顏色瞧瞧","N","",NA
"12836","嚴格","N","4",NA
"12837","嚴格","N","",NA
"12838","嚴格自我要求","P","",NA
"12839","嚴格自我要求","P","",NA
"12840","嚴加控管","N","3",NA
"12841","嚴謹","P","3",2
"12842","嚴峻","N","4",NA
"12843","嚴竣","N","",NA
"12844","嚴竣","N","",NA
"12845","嚴苛","N","3",NA
"12846","嚴刻","N","3",NA
"12847","嚴酷","N","4",NA
"12848","嚴厲","C","2",NA
"12849","嚴厲","N","4",NA
"12850","嚴厲拒絕","","4",NA
"12851","嚴明","P","1",1
"12852","嚴守","P","1",NA
"12853","嚴肅","N","4",NA
"12854","嚴肅","N","",NA
"12855","嚴以律己","P","",NA
"12856","嚴正","P","1",1
"12857","嚴正要求","N","4",NA
"12858","嚴正要求","N","2",NA
"12859","嚴重","N","",NA
"12860","嚴重","N","2",NA
"12861","嚴重","N","",NA
"12862","嚴重落差","N","4",NA
"12863","嚴重落差","N","2",NA
"12864","嚴重嗆傷","","4",NA
"12865","嚴重嗆傷","N","3",NA
"12866","奄奄一息","N","3",NA
"12867","衍生","N","",NA
"12868","衍生","N","",NA
"12869","掩鼻而過","N","4",NA
"12870","掩埋","N","2",NA
"12871","掩埋","N","3",NA
"12872","眼巴巴","N","",NA
"12873","眼殘","N","4",NA
"12874","眼饞","N","4",NA
"12875","眼紅","N","4",NA
"12876","眼花撩亂","0","",NA
"12877","眼花繚亂","0","",NA
"12878","眼尖發現","N","",NA
"12879","眼見","","4",NA
"12880","眼見","N","3",NA
"12881","眼睛都要張不開","N","3",NA
"12882","眼睛一陣模糊","N","2",NA
"12883","眼睛在冒汗","N","2",NA
"12884","眼睛怎麼開始模糊","N","2",NA
"12885","眼睛睜得很大","0","5",NA
"12886","眼看","N","3",NA
"12887","眼看","N","3,4",NA
"12888","眼眶泛淚","N","2",NA
"12889","眼淚","N","2",NA
"12890","眼淚都快掉下來","N","2",NA
"12891","眼前一黑","N","3",NA
"12892","眼熱","N","4",NA
"12893","眼神銳利","N","3",NA
"12894","眼睜睜","N","",NA
"12895","眼睜睜","N","",NA
"12896","眼中風","","4",NA
"12897","眼中風","N","3",NA
"12898","眼周疼痛","","4",NA
"12899","眼周疼痛","N","3",NA
"12900","演變成","N","2",NA
"12901","演變成","N","3",NA
"12902","演哪齣啊","","4",NA
"12903","咽了一口口水","N","3",NA
"12904","厭","N","4",NA
"12905","厭惡","N","4",NA
"12906","厭煩","N","4",NA
"12907","厭倦","N","4",NA
"12908","厭棄","N","4",NA
"12909","厭食","N","4",NA
"12910","厭世","N","4",NA
"12911","嚥下這口氣","N","4",NA
"12912","嚥下這口氣","N","2",NA
"12913","驗出","","4",NA
"12914","驗出","N","3",NA
"12915","驗傷","","4",NA
"12916","驗傷","N","3",NA
"12917","艷羨","P","4",NA
"12918","央求","N","2",NA
"12919","佯","N","4",4
"12920","佯狂","N","4",4
"12921","佯裝","N","4",4
"12922","佯裝","N","",NA
"12923","洋洋得意","N","",NA
"12924","洋洋得意","P","",NA
"12925","陽奉陰違","N","4",4
"12926","陽光","P","1",NA
"12927","陽光","P","",NA
"12928","陽間","N","3",NA
"12929","陽氣","N","3",NA
"12930","陽委","N","",NA
"12931","揚眉吐氣","P","1",NA
"12932","揚聲","N","",NA
"12933","揚言","N","",NA
"12934","揚揚得意","P","1",NA
"12935","揚揚自得","P","1",NA
"12936","仰","P","1",NA
"12937","仰觀","0","",NA
"12938","仰慕","P","1",NA
"12939","仰人鼻息","N","2",NA
"12940","仰天大笑","P","1",NA
"12941","仰天長歎","N","",NA
"12942","仰望","P","",NA
"12943","養小鬼","N","3",NA
"12944","養癰遺患","N","4",1
"12945","養育","P","",NA
"12946","養育之恩","P","1",NA
"12947","養尊處優","N","1",4
"12948","怏怏","N","2",NA
"12949","怏怏不樂","N","2",NA
"12950","夭壽","","4",NA
"12951","夭壽","N","4",NA
"12952","夭瘦","N","4",NA
"12953","吆喝","N","4",4
"12954","妖魔","N","3",NA
"12955","妖孽","","4",NA
"12956","妖孽","N",NA,NA
"12957","腰斬","N","",NA
"12958","邀約","P","1",NA
"12959","搖頭擺尾","P","1",NA
"12960","搖頭晃腦","P","1",NA
"12961","搖頭嘆息","N","2",NA
"12962","搖頭丸","N","4",NA
"12963","搖頭丸","N","2",NA
"12964","搖尾乞憐","N","4",4
"12965","謠傳","N","4",4
"12966","謠言","N","",NA
"12967","謠言","N","",NA
"12968","謠言紛飛","N","4",4
"12969","謠言惑眾","N","4",4
"12970","杳無人煙","N","3",NA
"12971","咬定","N","",NA
"12972","咬定","N","",NA
"12973","咬舌根","N","4",NA
"12974","咬牙","N","",NA
"12975","咬牙","N","",NA
"12976","咬牙切齒","N","4",NA
"12977","要","0","",NA
"12978","要把你放下","N","2",NA
"12979","要不然","N","",NA
"12980","要不要緊","N","3",NA
"12981","要不要一起","P","",NA
"12982","要不要這樣","N","2",NA
"12983","要徹底做好","N","",NA
"12984","要徹底做好","N","",NA
"12985","要誠實面對","N","",NA
"12986","要的人不是我","N","2",NA
"12987","要多加留意","N","3",NA
"12988","要幹嘛","N","",NA
"12989","要過年了","P","1",NA
"12990","要過年了","P","1",NA
"12991","要花多少","N","",NA
"12992","要花錢","N","",NA
"12993","要回家","P","",NA
"12994","要價","P","",NA
"12995","要堅持","P","1",NA
"12996","要檢討的是","N","",NA
"12997","要講幾遍","N","4",NA
"12998","要結束","N","2",NA
"12999","要緊","0","",NA
"13000","要進去關了","N","2",NA
"13001","要命","N","4",NA
"13002","要命","N","2",NA
"13003","要錢","N","4",NA
"13004","要錢","N","2",NA
"13005","要強","N","4",4
"13006","要人命","","4",NA
"13007","要人命","N","3",NA
"13008","要死了","N","3",NA
"13009","要小心","","4",NA
"13010","要小心","N","3",NA
"13011","要脅","N","4",NA
"13012","要脅","N","2",NA
"13013","要幸福","P","",NA
"13014","要有自覺","P","",NA
"13015","要早起","N","2",NA
"13016","藥品短少","N","",NA
"13017","藥物治療","N","2",NA
"13018","耀眼","P","1",NA
"13019","耶","P","1",NA
"13020","耶穌","N","3",NA
"13021","耶耶耶","P","1",NA
"13022","揶揄","N","4",4
"13023","揶揄地","N","",NA
"13024","也不 一下","N","4",NA
"13025","也不例外","N","",NA
"13026","也不是這樣子","","4",NA
"13027","也不願意","N","2",NA
"13028","也從不","N","",NA
"13029","也是蠻拼的","P","1",NA
"13030","也喜歡","P","1",NA
"13031","也想抱抱你","N","2",NA
"13032","也只能","N","",NA
"13033","野蠻","N","4",4
"13034","野蠻","N","",NA
"13035","野蠻陰影","N","3",NA
"13036","野性","N","4",4
"13037","夜班","N","",NA
"13038","夜店","N","",NA
"13039","夜店","N","",NA
"13040","夜郎自大","N","4",4
"13041","夜深了","N","",NA
"13042","業務侵占","N","",NA
"13043","業障","N","4",NA
"13044","一巴掌","N","4",NA
"13045","一把鼻涕","N","2",NA
"13046","一把鼻涕","N","3",NA
"13047","一把眼淚","N","2",NA
"13048","一把眼淚","N","3",NA
"13049","一把抓住我","N","3",NA
"13050","一百廿萬元","0","5",NA
"13051","一敗塗地","N","2",NA
"13052","一板一眼","N","4",NA
"13053","一絆","N","",NA
"13054","一閉上眼","N","",NA
"13055","一兵一卒","P","",NA
"13056","一不留神","N","3",NA
"13057","一不小心","N","3",NA
"13058","一場病","N","",NA
"13059","一場空","N","2",NA
"13060","一場空","N","3",NA
"13061","一場誤會","N","",NA
"13062","一場誤會","N","",NA
"13063","一扯","N","3",NA
"13064","一塵不染","P","1",NA
"13065","一吃成主顧","P","",NA
"13066","一籌莫展","N","",NA
"13067","一大灘血","","4",NA
"13068","一大灘血","N","3",NA
"13069","一地腥紅","N","3",NA
"13070","一點動靜也沒有","N","3",NA
"13071","一點都沒做","N","",NA
"13072","一點消息都沒有","N","2",NA
"13073","一點一點的接近","N","3",NA
"13074","一點意義都沒有","","4",NA
"13075","一定要過得很好","P","",NA
"13076","一定要約","P","",NA
"13077","一動也不動","N","3",NA
"13078","一肚子火","","4",NA
"13079","一度","N","2",NA
"13080","一度","N","3",NA
"13081","一度誤以為","N","",NA
"13082","一度誤以為","N","",NA
"13083","一度以為","0","5",NA
"13084","一堆","N","",NA
"13085","一番功夫","N","",NA
"13086","一翻兩瞪眼","N","",NA
"13087","一翻兩瞪眼","N","",NA
"13088","一副好好","","4",NA
"13089","一個極限","N","",NA
"13090","一個陪伴","P","",NA
"13091","一個人的時候","N","",NA
"13092","一個人的悠閒","P","",NA
"13093","一個人靜靜","N","",NA
"13094","一個人吞下","N","",NA
"13095","一個人壓在我身上","N","3",NA
"13096","一個心眼兒","N","4",NA
"13097","一個擁抱","P","",NA
"13098","一股狠勁","N","3",NA
"13099","一股異味","N","4",NA
"13100","一股異味","N","2",NA
"13101","一級棒","P","",NA
"13102","一見傾心","P","1",NA
"13103","一見如故","P","1",NA
"13104","一見鍾情","P","1",NA
"13105","一句鼓勵","P","",NA
"13106","一句話都說不出來","N","3",NA
"13107","一開始根本就是","N","",NA
"13108","一顆心懸在","N","3",NA
"13109","一口氣","P","",NA
"13110","一覽無遺","P","1",NA
"13111","一覽無遺","P","1",NA
"13112","一楞一楞","N","",NA
"13113","一愣","0","5",NA
"13114","一臉不敢相信","0","5",NA
"13115","一臉尷尬","0","5",NA
"13116","一臉尷尬","N","5",NA
"13117","一臉怪異","N","",NA
"13118","一臉驚恐","N","3",NA
"13119","一臉困擾","N","3",NA
"13120","一流","P","1",NA
"13121","一路好走","P","",NA
"13122","一路滑跌下來","N","3",NA
"13123","一路落後","N","2",NA
"13124","一路落後","N","3",NA
"13125","一路跑","N","",NA
"13126","一路走來","P","",NA
"13127","一路做下去","P","",NA
"13128","一昧的","N","",NA
"13129","一怒","","4",NA
"13130","一怒之下","N","4",NA
"13131","一諾千金","P","1",1
"13132","一派胡言","N","4",NA
"13133","一盤散沙","N","4",NA
"13134","一片混亂","","4",NA
"13135","一片混亂","N","3",NA
"13136","一片靜默","N","",NA
"13137","一片空白","","4",NA
"13138","一片空白","N","3",NA
"13139","一片茫然","0","5",NA
"13140","一片茫然","N","5",NA
"13141","一片漆黑","","4",NA
"13142","一片漆黑","N","3",NA
"13143","一票難求","N","",NA
"13144","一票難求","N","",NA
"13145","一瓶子不滿","N","",NA
"13146","一起","P","",NA
"13147","一起吃","P","",NA
"13148","一起出去玩","P","1",NA
"13149","一起混","N","",NA
"13150","一起陪我","P","",NA
"13151","一起去面對","P","",NA
"13152","一氣之下","N","4",NA
"13153","一嗆","N","",NA
"13154","一槍擊斃","N","3",NA
"13155","一槍擊斃","N","3",NA
"13156","一槍一彈","P","",NA
"13157","一竅不通","N","",NA
"13158","一切的付出","P","1",NA
"13159","一切都很順利","P","",NA
"13160","一切都會","P","",NA
"13161","一切順利","P","",NA
"13162","一切小心","N","3",NA
"13163","一日三秋","N","2",NA
"13164","一日之計","P","",NA
"13165","一身冷汗","N","3",NA
"13166","一身是膽","P","",NA
"13167","一生一世","P","",NA
"13168","一生致力於","P","1",NA
"13169","一生致力於","P","1",NA
"13170","一聲不響","0","",NA
"13171","一失足成千古恨","N","2",NA
"13172","一時好奇","N","",NA
"13173","一時好奇","N","",NA
"13174","一事無成","N","2",NA
"13175","一視同仁","P","1",1
"13176","一瞬間就結束了","N","",NA
"13177","一絲不苟","P","4",NA
"13178","一同出遊","P","1",NA
"13179","一頭兒沉","N","4",4
"13180","一頭霧水","N","5",NA
"13181","一頭霧水","N","",NA
"13182","一團和氣","P","1",1
"13183","一團糟","","4",NA
"13184","一往情深","P","1",NA
"13185","一位難求","P","",NA
"13186","一文不值","N","2",NA
"13187","一無所獲","N","2",NA
"13188","一無所覺","N","3",NA
"13189","一無所有","0","",NA
"13190","一無所長","N","4",4
"13191","一無所知","0","5",NA
"13192","一無所知","N","",NA
"13193","一笑置之","N",NA,NA
"13194","一笑置之","P","1",NA
"13195","一心一意","P","1",1
"13196","一言不發","N","",NA
"13197","一言不合","N","4",NA
"13198","一言定交","P","1",NA
"13199","一言既出","P","1",1
"13200","一眼認出","0","5",NA
"13201","一葉障目","0","5",NA
"13202","一一低頭","N","2",NA
"13203","一意孤行","N","2",NA
"13204","一則以喜一則以憂","N","",NA
"13205","一陣暈眩","N","3",NA
"13206","一枝獨秀","P","1",NA
"13207","一直都在","P","",NA
"13208","一直沒有","N","4",NA
"13209","一直沒有","N","2",NA
"13210","一直相信","P","",NA
"13211","一直笑","P","1",NA
"13212","一直在身旁","P","1",NA
"13213","一直在我心中","P","",NA
"13214","一直這樣","N","4",NA
"13215","一直住在我心中","N","2",NA
"13216","一轉身","0","5",NA
"13217","一轉眼","0","5",NA
"13218","一走百了","N","",NA
"13219","伊斯蘭國","N","4",NA
"13220","伊斯蘭國","N","2",NA
"13221","衣冠禽獸","N","4",4
"13222","衣衫不整","N","2",NA
"13223","衣衫不整","N","4",NA
"13224","依從","P","1",NA
"13225","依附","N","",NA
"13226","依舊沒有","N","",NA
"13227","依舊牽著","P","",NA
"13228","依賴","N","",NA
"13229","依戀","P","1",NA
"13230","依然是你","N","2",NA
"13231","依違","N","4",4
"13232","依違兩可","N","4",4
"13233","依樣畫葫蘆","N","4",NA
"13234","依依","P","1",NA
"13235","依依不捨","P","1",NA
"13236","依依戀戀","P","1",NA
"13237","咿","N","3",NA
"13238","噫","0","5",NA
"13239","醫好","P","",NA
"13240","宜人","P","1",NA
"13241","怡","P","1",NA
"13242","怡然","P","1",NA
"13243","怡然自得","P","1",NA
"13244","怡人","P","1",NA
"13245","咦","0","5",NA
"13246","咦","0","5",NA
"13247","移民潮","0","5",NA
"13248","移送法辦","N","",NA
"13249","移送法辦","N","",NA
"13250","移送檢調","","4",NA
"13251","移送檢調","N","3",NA
"13252","疑","","2,4",NA
"13253","疑","N","4",NA
"13254","疑點","N","4",NA
"13255","疑惑","N","5",NA
