"","lemma","Polarity","Emotion_Category","Personality"
"210","^■^","P","1",NA
"211","^o^","P","1",NA
"212","￣?￣","N","4",NA
"213","ˊˋ","N","2",NA
"214","<(_ _)>","N","2",NA
"215","</3","N","2",NA
"216","<3","P","1",NA
"217","<3","P","1",NA
"218","<m(_ _)m>","N","2",NA
"219","=_=","N","2",NA
"220","=_=","N","",NA
"221","=)","P","1",NA
"222","=]","P","1",NA
"223","=/","N","4",NA
"224","=+=","N","",NA
"225","> <","N","2,3",NA
"226",">_<","N","2",NA
"227",">_<","N","2,3",NA
"228",">:(","N","4",NA
"229",">:[","N","2",NA
"230",">:/","N","4",NA
"231",">:\","N","4",NA
"232",">:O","0","5",NA
"233",">:P","P","1",NA
"234",">.<","N","2",NA
"235",">""<","N","3",NA
"236",">///<","P","1",NA
"237",">///<","P","",NA
"238",">\\\<","P","1",NA
"239","><","N","2,3",NA
"240","><","N","2",NA
"241","~~~","P","1",NA
"242","～～～","P","1",NA
"243","≧?≦","P","1",NA
"244","⊙ｏ⊙","0","5",NA
"245","╰(〒皿〒)╯","N","4",NA
"246","◢▆▅▄▃崩╰(〒皿〒)╯潰▃▄▅▇◣","N","2",NA
"247","〒△〒","N","2",NA
"248","0;^)","P","1",NA
"249","0:-)","P","1",NA
"250","0:)","P","1",NA
"251","112","P","1",NA
"252","233","P","1",NA
"253","3","P","1",NA
"254","32個讚","P","1",NA
"255","3K","","4",NA
"256","3P","N","",NA
"257","3P","N","",NA
"258","426","N","4",NA
"259","4ni","P","1",NA
"260","7強","P","",NA
"261","8-0","0","5",NA
"262","8-D","P","1",NA
"263","8)","P","1",NA
"264","87","N","4",NA
"265","8D","P","1",NA
"266","阿","0","5",NA
"267","阿附","N","4",4
"268","阿哈","P","",NA
"269","阿哩不達","N","",NA
"270","阿嘶","P","1",NA
"271","阿諛","N","4",4
"272","嗄","0","5",NA
"273","啊","0","5",NA
"274","啊啊啊","P","",NA
"275","啊不就","","4",NA
"276","啊不就好棒棒","N","4",NA
"277","啊咧","0","5",NA
"278","哎","N","5",NA
"279","哎呀","0","",NA
"280","哀","N","2",NA
"281","哀哀","N","2",NA
"282","哀哀欲絕","N","2",NA
"283","哀愁","N","2",NA
"284","哀悼","N","2",NA
"285","哀悼","N","3",NA
"286","哀號","N","2",NA
"287","哀呼","N","2",NA
"288","哀毀骨立","N","2",NA
"289","哀矜","N","2",NA
"290","哀憐","N","2",NA
"291","哀戚","N","2",NA
"292","哀淒","N","2",NA
"293","哀求","N","2",NA
"294","哀榮","N","2",NA
"295","哀傷","N","2",NA
"296","哀思","N","2",NA
"297","哀歎","N","2",NA
"298","哀痛","N","2",NA
"299","哀慟","N","2",NA
"300","哀怨","N","2",NA
"301","唉","N","2",NA
"302","唉","N","2",NA
"303","唉聲歎氣","N","2",NA
"304","唉壓","N","",NA
"305","唉呦","N","2",NA
"306","挨打","N","3",NA
"307","挨罰","N","",NA
"308","挨罰","N","",NA
"309","欸","0","",NA
"310","欸","0","5",NA
"311","噯","N","4",NA
"312","癌","N","2",NA
"313","癌","N","3",NA
"314","癌症","","4",NA
"315","癌症","N","3",NA
"316","矮冬瓜","N","4",NA
"317","愛","P","1",NA
"318","愛不釋手","P","1",NA
"319","愛車","P","",NA
"320","愛得欲生欲死","P","1",NA
"321","愛的結晶","P","",NA
"322","愛的權利","P","",NA
"323","愛撫","N","",NA
"324","愛撫","P","1",NA
"325","愛好","P","1",NA
"326","愛護","P","1",1
"327","愛憐","P","1",1
"328","愛憐","P","",NA
"329","愛戀","P","1",NA
"330","愛美","P","1",NA
"331","愛面子","N","4",4
"332","愛莫能助","N","2",NA
"333","愛慕","P","1",NA
"334","愛你","P","1",NA
"335","愛情","P","1",NA
"336","愛情","P","",NA
"337","愛犬","P","1",NA
"338","愛人","P","1",NA
"339","愛上","P","1",NA
"340","愛惜","P","1",1
"341","愛惜羽毛","P","1",NA
"342","愛心","P","1",NA
"343","愛一次","P","",NA
"344","愛著你","C","2",NA
"345","曖昧","N","4",4
"346","曖昧","N","",NA
"347","曖昧","P","1",NA
"348","礙難","N","",NA
"349","安","0","",NA
"350","安安靜靜","P","",NA
"351","安不忘危","P","",NA
"352","安定","P","1",NA
"353","安非他命","N","",NA
"354","安分","P","1",1
"355","安分","P","",NA
"356","安分守己","P","1",1
"357","安份","P","",NA
"358","安撫","N","3",NA
"359","安撫","P","1",NA
"360","安好","P","1",NA
"361","安靜","P","",NA
"362","安康","P","1",NA
"363","安樂","P","1",NA
"364","安眠藥","N","",NA
"365","安寧","P","1",NA
"366","安全","P","",NA
"367","安全感","P","1",NA
"368","安全降落","P","",NA
"369","安全降落","P","",NA
"370","安然","P","1",NA
"371","安生","N",NA,NA
"372","安生","P","1",NA
"373","安適","P","1",NA
"374","安土重遷","0","",NA
"375","安慰","N",NA,NA
"376","安慰","P","",NA
"377","安穩","P","1",NA
"378","安息","P","",NA
"379","安閒","P","1",NA
"380","安詳","P","1",NA
"381","安享","P","1",NA
"382","安心","N",NA,NA
"383","安心","P","1",NA
"384","安心感","P","1",NA
"385","安心食用","P","",NA
"386","安心食用","P","",NA
"387","安逸","P","1",NA
"388","安之若素","P","",NA
"389","安置","P","1",NA
"390","安置","P","1",NA
"391","諳","P","1",1
"392","按表操課","P","",NA
"393","按部就班","N",NA,NA
"394","按部就班","P","1",1
"395","按喇叭","N","",NA
"396","按摩","P","1",NA
"397","按摩棒","N","",NA
"398","按圖索驥","N","4",NA
"399","按讚","P","",NA
"400","案牘勞形","N","2",NA
"401","案情未明朗","N","",NA
"402","案情未明朗","N","",NA
"403","暗暗","N","4",4
"404","暗地","N","4",4
"405","暗號","P","",NA
"406","暗箭傷人","N","4",4
"407","暗戀","P","1",NA
"408","暗昧","N","4",4
"409","暗示","N",NA,NA
"410","暗示","P","",NA
"411","暗送秋波","N",NA,NA
"412","暗送秋波","P","1",NA
"413","暗算","N","4",4
"414","暗喜","P","1",NA
"415","暗笑","N",NA,NA
"416","暗笑","P","1",NA
"417","暗中","N","4",4
"418","暗中","N","3",NA
"419","黯然","N","2",NA
"420","黯然離去","N","2",NA
"421","黯然神傷","N","2",NA
"422","黯然銷魂","N","2",NA
"423","骯髒","","4",NA
"424","骯髒","N","4",NA
"425","昂奮","P","",NA
"426","昂貴","0","",NA
"427","昂貴","N","",NA
"428","凹了一大洞","N","",NA
"429","熬心","N",NA,NA
"430","熬心","P","1",NA
"431","熬夜","N","",NA
"432","熬夜","N","",NA
"433","拗","N","4",NA
"434","傲","N","4",4
"435","傲嬌","N","4",4
"436","傲驕","N","4",4
"437","傲慢","N","4",NA
"438","傲人","P","",NA
"439","傲人的紀錄","P","",NA
"440","傲人的雙峰","P","",NA
"441","奧客","","4",NA
"442","奧客","N","4",NA
"443","懊悔","N","2",NA
"444","懊悔不已","N","2",NA
"445","懊惱","N","2",NA
"446","懊喪","N","2",NA
"447","八成","N","",NA
"448","八卦","N","",NA
"449","八面鋒","N","4",4
"450","八面玲瓏","N","4",4
"451","八婆","N","4",NA
"452","巴","0","",NA
"453","巴不得","P","1",NA
"454","巴結","","4",NA
"455","巴結","N","4",4
"456","巴望","P","1",NA
"457","芭比娃娃","P","",NA
"458","疤痕","N","",NA
"459","拔管","N","2",NA
"460","拔管","N","3",NA
"461","拔辣","N","4",NA
"462","拔腿","N","3",NA
"463","拔腿","P",NA,NA
"464","拔腿就跑","N","3",NA
"465","拔牙","N","3",NA
"466","跋扈","N","4",4
"467","把關","P","",NA
"468","把關不嚴","","4",NA
"469","把話也說清楚","N","",NA
"470","把脈","P","",NA
"471","把我掐死","","4",NA
"472","把握","P","",NA
"473","霸道","N","4",4
